uid,Date,TrainLoc,Protocol,TrainTeam,Rainfall,Temp,Paid,Team,Self,People,Assign,TranTrai,Coord,Upload,Time,Bulk,Complex,Task,WQO,WQC,WQM,created,Latest,ToNow,ActivePeriod,Years,TeamPoints,Blog,Comment,Invite,InviteAccepted,Pres,Quiz,Sample,Share,Points,BlogTime,CommTime,InvTime,InviteATime,PresTime,QuizTime,SampTime,ShareTime,PointsTime,BlogTimeZ,CommTimeZ,InvTimeZ,InviteATimeZ,PresTimeZ,QuizTimeZ,SampTimeZ,ShareTimeZ,PointsTimeZ,BlogTimeZZ
3559,11/06/2012,Biggs 2012 Short Duration HWP Pilot Team D - CSL,London,11,0.05497,10.56073,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,26/11/2013,26/11/2013,1271.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
3560,11/06/2012,Biggs 2012 Short Duration HWP Pilot Team D - CSL,London,11,0.05497,10.56073,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,26/11/2013,25/09/2014,1271.00,303,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
3561,11/06/2012,Biggs 2012 Short Duration HWP Pilot Team D - CSL,London,11,0.05497,10.56073,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,26/11/2013,13/12/2013,1271.00,17,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
3562,11/06/2012,Biggs 2012 Short Duration HWP Pilot Team D - CSL,London,11,0.05497,10.56073,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,26/11/2013,26/11/2013,1271.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
3563,11/06/2012,Biggs 2012 Short Duration HWP Pilot Team D - CSL,London,11,0.05497,10.56073,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,26/11/2013,26/11/2013,1271.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
3564,11/06/2012,Biggs 2012 Short Duration HWP Pilot Team D - CSL,London,11,0.05497,10.56073,1,0,1,1,0,0,0,1,2,2,2,2,1,1,1,26/11/2013,23/03/2015,1271.00,482,1.32,0,0,0,0,0,0,1,1,0,38,0,0,0,0,0,0.0055,0.0055,0,0.2093,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,0.3692,-0.0178,-0.0252,0.0113,-0.0683
253,03/05/2013,Biggs 2013 Eastbrook End Short Duration CSL Training Team 1,London,21,0,9.81674,1,0,1,1,0,0,0,1,2,2,2,2,1,1,1,01/03/2013,01/07/2014,1541.00,487,1.33,0,0,0,0,0,0,0,1,0,20,0,0,0,0,0,0,0.0045,0,0.0909,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.0178,-0.0252,-0.0598,-0.0683
254,03/05/2013,Biggs 2013 Eastbrook End Short Duration CSL Training Team 1,London,21,0,9.81674,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,01/03/2013,16/10/2013,1541.00,229,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
255,03/05/2013,Biggs 2013 Eastbrook End Short Duration CSL Training Team 1,London,21,0,9.81674,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,01/03/2013,15/10/2013,1541.00,228,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
256,03/05/2013,Biggs 2013 Eastbrook End Short Duration CSL Training Team 1,London,21,0,9.81674,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,01/03/2013,15/10/2013,1541.00,228,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
258,03/05/2013,Biggs 2013 Eastbrook End Short Duration CSL Training Team 1,London,21,0,9.81674,1,0,1,1,0,0,0,1,2,2,2,2,1,1,1,01/03/2013,12/05/2016,1541.00,1168,3.2,0,0,0,0,0,0,0,1,0,20,0,0,0,0,0,0,0.0045,0,0.0909,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.0178,-0.0252,-0.0598,-0.0683
259,03/05/2013,Biggs 2013 Eastbrook End Short Duration CSL Training Team 1,London,21,0,9.81674,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,01/03/2013,11/02/2015,1541.00,712,1.95,0,0,0,0,0,0,1,0,0,18,0,0,0,0,0,0.0045,0,0,0.0818,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,0.3692,-0.1023,-0.0252,-0.0677,-0.0683
260,03/05/2013,Biggs 2013 Eastbrook End Short Duration CSL Training Team 1,London,21,0,9.81674,1,0,1,1,0,0,0,1,2,2,2,2,3,3,3,01/03/2013,20/11/2013,1541.00,264,0.72,0,0,0,0,0,0,0,6,0,120,0,0,0,0,0,0,0.0273,0,0.5451,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,0.4042,-0.0252,0.3349,-0.0683
261,03/05/2013,Biggs 2013 Eastbrook End Short Duration CSL Training Team 1,London,21,0,9.81674,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,01/03/2013,15/10/2013,1541.00,228,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
262,03/05/2013,Biggs 2013 Eastbrook End Short Duration CSL Training Team 1,London,21,0,9.81674,1,0,1,1,0,0,0,1,2,2,2,2,2,2,2,01/03/2013,21/03/2014,1541.00,385,1.05,0,0,0,0,0,1,0,4,0,115,0,0,0,0,0.0045,0,0.0182,0,0.5224,-0.0609,-0.0658,-0.0496,-0.0357,2.8259,-0.876,0.2354,-0.0252,0.3152,-0.0683
264,03/05/2013,Biggs 2013 Eastbrook End Short Duration CSL Training Team 1,Leeds,21,0,9.81674,1,0,1,1,0,0,0,1,1,1,1,1,2,2,2,01/03/2013,19/03/2015,1541.00,748,2.05,0,3,1,0,0,8,3,8,0,663,0.0136,0.0045,0,0,0.0363,0.0136,0.0363,0,3.0117,3.8202,1.1322,-0.0496,-0.0357,23.0295,2.8596,0.5731,-0.0252,2.4782,2.9697
265,03/05/2013,Biggs 2013 Eastbrook End Short Duration CSL Training Team 1,London,21,0,9.81674,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,01/03/2013,27/04/2016,1541.00,1153,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
266,03/05/2013,Biggs 2013 Eastbrook End Short Duration CSL Training Team 1,London,21,0,9.81674,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,01/03/2013,22/07/2014,1541.00,508,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
269,03/05/2013,Biggs 2013 Eastbrook End Short Duration CSL Training Team 1,London,21,0,9.81674,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,01/03/2013,15/10/2013,1541.00,228,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
270,03/05/2013,Biggs 2013 Eastbrook End Short Duration CSL Training Team 1,London,21,0,9.81674,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,01/03/2013,15/10/2013,1541.00,228,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
271,03/05/2013,Biggs 2013 Eastbrook End Short Duration CSL Training Team 1,London,21,0,9.81674,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,01/03/2013,16/10/2013,1541.00,229,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
272,03/05/2013,Biggs 2013 Eastbrook End Short Duration CSL Training Team 1,London,21,0,9.81674,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,01/03/2013,15/10/2013,1541.00,228,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
273,03/05/2013,Biggs 2013 Eastbrook End Short Duration CSL Training Team 1,London,21,0,9.81674,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,01/03/2013,16/10/2013,1541.00,229,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
275,03/05/2013,Biggs 2013 Eastbrook End Short Duration CSL Training Team 1,London,21,0,9.81674,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,01/03/2013,15/11/2013,1541.00,259,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
276,03/05/2013,Biggs 2013 Eastbrook End Short Duration CSL Training Team 1,London,21,0,9.81674,1,0,1,1,0,0,0,1,2,2,2,2,NA,NA,NA,01/03/2013,28/10/2013,1541.00,241,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
305,03/09/2013,Ho 2013 Hong Kong Short Duration CSL Training Team 1,Hong Kong,27,0,18.61054,0,1,0,1,1,1,1,0,9,9,9,11,NA,NA,NA,05/03/2013,24/10/2013,1537.00,233,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
311,03/09/2013,Ho 2013 Hong Kong Short Duration CSL Training Team 1,Hong Kong,27,0,18.61054,0,1,0,1,1,1,1,0,9,9,9,11,NA,NA,NA,05/03/2013,21/11/2013,1537.00,261,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
357,3/15/2013,Biggs 2013 Leeds Short Duration CSL Training Team 1,Leeds,11,0.00628,-17.58902,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,08/03/2013,08/10/2015,1534.00,944,2.59,0,0,0,0,0,0,0,6,0,120,0,0,0,0,0,0,0.0274,0,0.5476,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,0.4042,-0.0252,0.3349,-0.0683
358,3/15/2013,Biggs 2013 Leeds Short Duration CSL Training Team 1,Leeds,11,0.00628,-17.58902,0,0,1,1,0,0,0,1,1,1,1,1,NA,NA,NA,08/03/2013,19/12/2013,1534.00,286,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
359,3/15/2013,Biggs 2013 Leeds Short Duration CSL Training Team 1,Leeds,11,0.00628,-17.58902,0,0,1,1,0,0,0,1,1,1,1,1,NA,NA,NA,08/03/2013,16/10/2013,1534.00,222,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
360,3/15/2013,Biggs 2013 Leeds Short Duration CSL Training Team 1,Leeds,11,0.00628,-17.58902,0,0,1,1,0,0,0,1,1,1,1,1,NA,NA,NA,08/03/2013,16/10/2013,1534.00,222,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
362,3/15/2013,Biggs 2013 Leeds Short Duration CSL Training Team 1,Leeds,11,0.00628,-17.58902,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,08/03/2013,29/01/2015,1534.00,692,1.9,0,0,0,0,0,0,0,12,0,195,0,0,0,0,0,0,0.0548,0,0.8898,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,0.9107,-0.0252,0.631,-0.0683
363,3/15/2013,Biggs 2013 Leeds Short Duration CSL Training Team 1,Leeds,11,0.00628,-17.58902,0,0,1,1,0,0,0,1,1,1,1,1,NA,NA,NA,08/03/2013,16/10/2013,1534.00,222,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
364,3/15/2013,Biggs 2013 Leeds Short Duration CSL Training Team 1,Leeds,11,0.00628,-17.58902,0,0,1,1,0,0,0,1,1,1,1,1,NA,NA,NA,08/03/2013,16/10/2013,1534.00,222,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
365,3/15/2013,Biggs 2013 Leeds Short Duration CSL Training Team 1,Leeds,11,0.00628,-17.58902,0,0,1,1,0,0,0,1,1,1,1,1,NA,NA,NA,08/03/2013,28/10/2013,1534.00,234,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
366,3/15/2013,Biggs 2013 Leeds Short Duration CSL Training Team 1,Leeds,11,0.00628,-17.58902,0,0,1,1,0,0,0,1,1,1,1,1,NA,NA,NA,08/03/2013,28/10/2013,1534.00,234,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
367,3/15/2013,Biggs 2013 Leeds Short Duration CSL Training Team 1,Leeds,11,0.00628,-17.58902,0,0,1,1,0,0,0,1,1,1,1,1,NA,NA,NA,08/03/2013,16/10/2013,1534.00,222,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
373,3/15/2013,Biggs 2013 Leeds Short Duration CSL Training Team 1,Leeds,11,0.00628,-17.58902,0,0,1,1,0,0,0,1,1,1,1,1,NA,NA,NA,08/03/2013,16/10/2013,1534.00,222,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
336,3/16/2013,Zhang 2013 Shanghai Short Duration CSL Training Team 1,Shanghai,21,0.19333,9.97024,0,1,0,1,1,1,0,1,3,3,3,3,NA,NA,NA,08/03/2013,24/10/2013,1534.00,230,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
337,3/16/2013,Zhang 2013 Shanghai Short Duration CSL Training Team 1,Shanghai,21,0.19333,9.97024,0,1,0,1,1,1,0,1,3,3,3,3,4,4,4,08/03/2013,01/03/2014,1534.00,358,0.98,0,0,0,0,0,0,1,8,0,174,0,0,0,0,0,0.0046,0.0365,0,0.794,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,0.3692,0.5731,-0.0252,0.5481,-0.0683
338,3/16/2013,Zhang 2013 Shanghai Short Duration CSL Training Team 1,Shanghai,21,0.19333,9.97024,0,1,0,1,1,1,0,1,3,3,3,3,1,1,1,08/03/2013,24/10/2013,1534.00,230,0.63,0,0,0,0,0,0,2,1,0,52,0,0,0,0,0,0.0091,0.0046,0,0.2373,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,1.6144,-0.0178,-0.0252,0.0665,-0.0683
339,3/16/2013,Zhang 2013 Shanghai Short Duration CSL Training Team 1,Shanghai,21,0.19333,9.97024,0,1,0,1,1,1,0,1,3,3,3,3,NA,NA,NA,08/03/2013,24/10/2013,1534.00,230,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
340,3/16/2013,Zhang 2013 Shanghai Short Duration CSL Training Team 1,Shanghai,21,0.19333,9.97024,0,1,0,1,1,1,0,1,3,3,3,3,NA,NA,NA,08/03/2013,24/10/2013,1534.00,230,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
341,3/16/2013,Zhang 2013 Shanghai Short Duration CSL Training Team 1,Shanghai,21,0.19333,9.97024,0,1,0,1,1,1,0,1,3,3,3,3,2,2,2,08/03/2013,15/10/2016,1534.00,1317,3.61,0,0,0,0,0,0,0,14,0,280,0,0,0,0,0,0,0.0639,0,1.2777,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,1.0796,-0.0252,0.9665,-0.0683
342,3/16/2013,Zhang 2013 Shanghai Short Duration CSL Training Team 1,Shanghai,21,0.19333,9.97024,0,1,0,1,1,1,0,1,3,3,3,3,4,4,4,08/03/2013,22/12/2015,1534.00,1019,2.79,0,0,0,0,0,0,0,1,0,20,0,0,0,0,0,0,0.0046,0,0.0913,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.0178,-0.0252,-0.0598,-0.0683
344,3/16/2013,Zhang 2013 Shanghai Short Duration CSL Training Team 1,Shanghai,21,0.19333,9.97024,0,1,0,1,1,1,0,1,3,3,3,3,NA,NA,NA,08/03/2013,24/10/2013,1534.00,230,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
346,3/16/2013,Zhang 2013 Shanghai Short Duration CSL Training Team 1,Shanghai,21,0.19333,9.97024,0,1,0,1,1,1,0,1,3,3,3,3,NA,NA,NA,08/03/2013,24/10/2013,1534.00,230,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
347,3/16/2013,Zhang 2013 Shanghai Short Duration CSL Training Team 1,Shanghai,21,0.19333,9.97024,0,1,0,1,1,1,0,1,3,3,3,3,NA,NA,NA,08/03/2013,24/10/2013,1534.00,230,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
348,3/16/2013,Zhang 2013 Shanghai Short Duration CSL Training Team 1,Shanghai,21,0.19333,9.97024,0,1,0,1,1,1,0,1,3,3,3,3,3,3,3,08/03/2013,02/07/2015,1534.00,846,2.32,0,0,0,0,0,0,1,4,0,104,0,0,0,0,0,0.0046,0.0183,0,0.4746,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,0.3692,0.2354,-0.0252,0.2718,-0.0683
349,3/16/2013,Zhang 2013 Shanghai Short Duration CSL Training Team 1,Shanghai,21,0.19333,9.97024,0,1,0,1,1,1,0,1,3,3,3,3,NA,NA,NA,08/03/2013,24/10/2013,1534.00,230,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
350,3/16/2013,Zhang 2013 Shanghai Short Duration CSL Training Team 1,Shanghai,21,0.19333,9.97024,0,1,0,1,1,1,0,1,3,3,3,3,NA,NA,NA,08/03/2013,24/10/2013,1534.00,230,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
351,3/16/2013,Zhang 2013 Shanghai Short Duration CSL Training Team 1,Shanghai,21,0.19333,9.97024,0,1,0,1,1,1,0,1,3,3,3,3,NA,NA,NA,08/03/2013,24/10/2013,1534.00,230,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
353,3/16/2013,Zhang 2013 Shanghai Short Duration CSL Training Team 1,Shanghai,21,0.19333,9.97024,0,1,0,1,1,1,0,1,3,3,3,3,NA,NA,NA,08/03/2013,24/10/2013,1534.00,230,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
354,3/16/2013,Zhang 2013 Shanghai Short Duration CSL Training Team 1,Shanghai,21,0.19333,9.97024,0,1,0,1,1,1,0,1,3,3,3,3,NA,NA,NA,08/03/2013,24/10/2013,1534.00,230,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609,-0.0658,-0.0496,-0.0357,-0.0603,-0.876,-0.1023,-0.0252,-0.1387,-0.0683
