Type,uid,created,Latest,Staff,HWP,Location,HWP,Attendees,Paid,TranTrai,Upload,Time,Bulk,Complex,Task,Online,Team,Self,People,Assign,Coord,TranSamp,WQO,WQC,WQM,WQS
Blog,11797,27/04/2015,03/05/2017,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,3,2,0
Blog,524,27/03/2013,14/11/2016,0,1,Chicago,1,18.5,1,1,0,4,2,2,5,0,1,1,2.5,1,0,0,NA,3,1,0
Blog,12431,03/06/2015,30/12/2016,0,1,Leeds,1,9.4,1,0,0,1,1,1,1,1,0,0,1,0,1,0,NA,1,1,0
Blog,12321,29/05/2015,23/08/2016,0,1,Leeds,1,9.4,1,0,0,1,1,1,1,1,0,0,1,0,1,0,NA,1,2,0
Blog,2617,25/09/2013,09/12/2016,0,1,New York,1,17.375,1,0,0,4,3,4,3,0,1,1,2.5,1,0,0,NA,3,1,0
Blog,12327,29/05/2015,25/02/2017,0,1,Leeds,1,9.4,1,0,0,1,1,1,1,1,0,0,1,0,1,0,NA,1,1,0
Blog,2617,25/09/2013,09/12/2016,0,1,New York,1,17.375,1,0,0,4,3,4,3,0,1,1,2.5,1,0,0,NA,3,1,0
Blog,6439,17/06/2014,06/03/2017,0,1,Vancouver,1,19.5,1,0,0,4,4,4,4,0,1,1,2.5,1,0,0,NA,1,1,0
Blog,11824,28/04/2015,20/10/2016,0,1,Vancouver,1,19.5,1,0,0,4,4,4,4,0,1,1,2.5,1,0,0,NA,1,1,0
Blog,12327,29/05/2015,25/02/2017,0,1,Leeds,1,9.4,1,0,0,1,1,1,1,1,0,0,1,0,1,0,NA,1,1,0
Blog,524,27/03/2013,14/11/2016,0,1,Chicago,1,18.5,1,1,0,4,2,2,5,0,1,1,2.5,1,0,0,NA,3,1,0
Blog,3196,24/10/2013,18/11/2016,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,0
Blog,3196,24/10/2013,18/11/2016,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,0
Blog,16204,15/01/2016,02/11/2016,0,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,1,0
Blog,12319,29/05/2015,27/08/2016,0,1,Leeds,1,9.4,1,0,0,1,1,1,1,1,0,0,1,0,1,0,NA,2,1,0
Blog,12319,29/05/2015,27/08/2016,0,1,Leeds,1,9.4,1,0,0,1,1,1,1,1,0,0,1,0,1,0,NA,2,1,0
Blog,2941,15/10/2013,10/05/2017,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blog,12319,29/05/2015,27/08/2016,0,1,Leeds,1,9.4,1,0,0,1,1,1,1,1,0,0,1,0,1,0,NA,2,1,0
Blog,12431,03/06/2015,30/12/2016,0,1,Leeds,1,9.4,1,0,0,1,1,1,1,1,0,0,1,0,1,0,NA,1,1,0
Blog,12431,03/06/2015,30/12/2016,0,1,Leeds,1,9.4,1,0,0,1,1,1,1,1,0,0,1,0,1,0,NA,1,1,0
Comment,1206,15/05/2013,05/02/2014,0,1,Mexico City,1,19.5,0,1,0,4,3,4,5,0,1,0,4,1,1,1,NA,2,1,0
Comment,1209,15/05/2013,22/10/2013,0,1,Mexico City,1,19.5,0,1,0,4,3,4,5,0,1,0,4,1,1,1,NA,NA,NA,NA
Comment,1205,15/05/2013,05/06/2014,0,1,Mexico City,1,19.5,0,1,0,4,3,4,5,0,1,0,4,1,1,1,NA,2,1,0
Comment,637,04/04/2013,18/10/2013,1,1,London,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,1,1,0
Comment,47,21/02/2013,03/01/2017,0,1,London,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,1,1,0
Comment,1239,23/05/2013,22/10/2013,0,1,Mexico City,1,19.5,0,1,0,4,3,4,5,0,1,0,4,1,1,1,NA,NA,NA,NA
Comment,47,21/02/2013,03/01/2017,0,1,London,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,1,1,0
Comment,47,21/02/2013,03/01/2017,0,1,London,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,1,1,0
Comment,1325,03/06/2013,20/05/2015,0,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,NA,NA,NA
Comment,637,04/04/2013,18/10/2013,1,1,London,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,1,1,0
Comment,47,21/02/2013,03/01/2017,0,1,London,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,1,1,0
Comment,1755,23/07/2013,19/09/2013,0,1,Dehli,1,NA,NA,NA,NA,4,5,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comment,1659,09/07/2013,03/08/2013,0,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comment,910,23/04/2013,21/10/2014,0,1,Vancouver,1,19.5,1,0,0,4,4,4,4,0,1,1,2.5,1,0,0,NA,4,1,0
Comment,378,08/03/2013,12/11/2014,1,1,Dehli,1,NA,NA,NA,NA,4,5,4,4,0,NA,NA,NA,NA,NA,NA,NA,3,1,0
Comment,333,06/03/2013,18/10/2016,1,1,London,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,2,1,0
Comment,611,04/04/2013,03/02/2015,0,1,Sydney,1,NA,NA,NA,NA,19,12,15,12,0,NA,NA,NA,NA,NA,NA,NA,1,1,0
Comment,1579,04/07/2013,25/11/2014,1,1,Hyderabad,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,3,1,0
Comment,1755,23/07/2013,19/09/2013,0,1,Dehli,1,NA,NA,NA,NA,4,5,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comment,1755,23/07/2013,19/09/2013,0,1,Dehli,1,NA,NA,NA,NA,4,5,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comment,378,08/03/2013,12/11/2014,1,1,Dehli,1,NA,NA,NA,NA,4,5,4,4,0,NA,NA,NA,NA,NA,NA,NA,3,1,0
Comment,416,14/03/2013,31/03/2017,1,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,3,1,0
Comment,416,14/03/2013,31/03/2017,1,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,3,1,0
Comment,842,16/04/2013,11/11/2016,0,1,Toronto,1,22.8,0,0,0,7,6,7,6,0,1,1,2.5,1,0,0,NA,2,1,0
Comment,563,01/04/2013,21/10/2016,1,1,Sao Paulo,1,19.5,1,0,1,7,7,7,9,0,1,1,3.5,1,1,0,NA,2,1,0
Comment,416,14/03/2013,31/03/2017,1,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,3,1,0
Comment,378,08/03/2013,12/11/2014,1,1,Dehli,1,NA,NA,NA,NA,4,5,4,4,0,NA,NA,NA,NA,NA,NA,NA,3,1,0
Comment,845,16/04/2013,08/05/2016,0,1,Mexico City,1,19.5,0,1,0,4,3,4,5,0,1,0,4,1,1,1,NA,2,1,0
Comment,3466,13/11/2013,28/12/2016,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,4,1,0
Comment,2582,20/09/2013,08/04/2016,1,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,0
Comment,414,14/03/2013,17/02/2015,0,1,Paris,1,19.07142857,1,0,0,2,2,2,2,0,0,0,1,0,1,0,NA,NA,NA,NA
Comment,1233,20/05/2013,13/03/2015,1,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,1,1,0
Comment,1233,20/05/2013,13/03/2015,1,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,1,1,0
Comment,1233,20/05/2013,13/03/2015,1,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,1,1,0
Comment,1233,20/05/2013,13/03/2015,1,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,1,1,0
Comment,378,08/03/2013,12/11/2014,1,1,Dehli,1,NA,NA,NA,NA,4,5,4,4,0,NA,NA,NA,NA,NA,NA,NA,3,1,0
Comment,2949,15/10/2013,08/07/2016,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,2,1,0
Comment,400,13/03/2013,24/03/2015,0,1,Dehli,1,NA,NA,NA,NA,4,5,4,4,0,NA,NA,NA,NA,NA,NA,NA,4,1,0
Comment,333,06/03/2013,18/10/2016,1,1,London,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,2,1,0
Comment,3466,13/11/2013,28/12/2016,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,4,1,0
Comment,1579,04/07/2013,25/11/2014,1,1,Hyderabad,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,3,1,0
Comment,2949,15/10/2013,08/07/2016,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,2,1,0
Comment,2796,07/10/2013,30/05/2016,0,1,Kuala Lumpur,1,26.7,1,1,1,11,7,10,7,0,1,0,7.325,1,1,0,NA,NA,NA,NA
Comment,416,14/03/2013,31/03/2017,1,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,3,1,0
Comment,416,14/03/2013,31/03/2017,1,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,3,1,0
Comment,251,01/03/2013,23/11/2016,1,1,London,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,3,1,0
Comment,3550,26/11/2013,07/08/2014,0,1,London,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comment,333,06/03/2013,18/10/2016,1,1,London,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,2,1,0
Comment,762,11/04/2013,14/10/2016,0,1,Sao Paulo,1,19.5,1,0,1,7,7,7,9,0,1,1,3.5,1,1,0,NA,2,1,0
Comment,1174,14/05/2013,22/12/2013,0,1,Shanghai,1,17.27272727,0,1,0,3,3,3,3,0,1,1,5,1,1,0,NA,NA,NA,NA
Comment,3196,24/10/2013,18/11/2016,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,0
Comment,3730,20/12/2013,17/10/2016,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,2,1,0
Comment,2582,20/09/2013,08/04/2016,1,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,0
Comment,2582,20/09/2013,08/04/2016,1,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,0
Comment,2582,20/09/2013,08/04/2016,1,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,0
Comment,2582,20/09/2013,08/04/2016,1,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,0
Comment,2582,20/09/2013,08/04/2016,1,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,0
Comment,2582,20/09/2013,08/04/2016,1,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,0
Comment,2582,20/09/2013,08/04/2016,1,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,0
Comment,1484,27/06/2013,02/03/2017,0,1,London,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,3,1,0
Comment,1468,25/06/2013,10/06/2016,0,1,Kuala Lumpur,1,26.7,1,1,1,11,7,10,7,0,1,0,7.325,1,1,0,NA,3,1,0
Comment,1233,20/05/2013,13/03/2015,1,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,1,1,0
Comment,3466,13/11/2013,28/12/2016,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,4,1,0
Comment,1468,25/06/2013,10/06/2016,0,1,Kuala Lumpur,1,26.7,1,1,1,11,7,10,7,0,1,0,7.325,1,1,0,NA,3,1,0
Comment,959,29/04/2013,13/08/2014,0,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,1,1,0
Comment,1233,20/05/2013,13/03/2015,1,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,1,1,0
Comment,295,05/03/2013,05/05/2014,0,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,1,1,0
Comment,3466,13/11/2013,28/12/2016,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,4,1,0
Comment,1233,20/05/2013,13/03/2015,1,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,1,1,0
Comment,2582,20/09/2013,08/04/2016,1,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,0
Comment,2582,20/09/2013,08/04/2016,1,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,0
Comment,2582,20/09/2013,08/04/2016,1,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,0
Comment,959,29/04/2013,13/08/2014,0,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,1,1,0
Comment,2582,20/09/2013,08/04/2016,1,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,0
Comment,1233,20/05/2013,13/03/2015,1,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,1,1,0
Comment,959,29/04/2013,13/08/2014,0,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,1,1,0
Comment,959,29/04/2013,13/08/2014,0,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,1,1,0
Comment,3466,13/11/2013,28/12/2016,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,4,1,0
Comment,3297,30/10/2013,09/05/2017,1,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,3,1,0
Comment,1233,20/05/2013,13/03/2015,1,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,1,1,0
Comment,251,01/03/2013,23/11/2016,1,1,London,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,3,1,0
Comment,378,08/03/2013,12/11/2014,1,1,Dehli,1,NA,NA,NA,NA,4,5,4,4,0,NA,NA,NA,NA,NA,NA,NA,3,1,0
Comment,378,08/03/2013,12/11/2014,1,1,Dehli,1,NA,NA,NA,NA,4,5,4,4,0,NA,NA,NA,NA,NA,NA,NA,3,1,0
Comment,1512,01/07/2013,09/09/2016,0,1,Curitiba,1,19.57142857,0,1,1,7,7,7,9,0,1,1,3.5,1,1,0,NA,2,1,0
Comment,3196,24/10/2013,18/11/2016,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,0
Comment,1484,27/06/2013,02/03/2017,0,1,London,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,3,1,0
Comment,864,18/04/2013,04/08/2015,0,1,Curitiba,1,19.57142857,0,1,1,7,7,7,9,0,1,1,3.5,1,1,0,NA,1,1,0
Comment,416,14/03/2013,31/03/2017,1,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,3,1,0
Comment,3670,13/12/2013,19/02/2015,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comment,3297,30/10/2013,09/05/2017,1,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,3,1,0
Comment,3212,25/10/2013,28/01/2017,0,1,Leeds,1,9.4,1,0,0,1,1,1,1,1,0,0,1,0,1,0,NA,1,1,0
Comment,762,11/04/2013,14/10/2016,0,1,Sao Paulo,1,19.5,1,0,1,7,7,7,9,0,1,1,3.5,1,1,0,NA,2,1,0
Comment,3196,24/10/2013,18/11/2016,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,0
Comment,4091,10/02/2014,10/08/2014,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,0
Comment,3978,31/01/2014,15/05/2015,0,1,Rio de Janeiro,1,18,0,0,1,7,7,7,9,0,1,1,3.5,1,1,0,NA,1,2,0
Comment,333,06/03/2013,18/10/2016,1,1,London,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,2,1,0
Comment,3985,31/01/2014,20/06/2016,0,1,Rio de Janeiro,1,18,0,0,1,7,7,7,9,0,1,1,3.5,1,1,0,NA,2,2,0
Comment,563,01/04/2013,21/10/2016,1,1,Sao Paulo,1,19.5,1,0,1,7,7,7,9,0,1,1,3.5,1,1,0,NA,2,1,0
Comment,758,11/04/2013,24/02/2015,0,1,Sao Paulo,1,19.5,1,0,1,7,7,7,9,0,1,1,3.5,1,1,0,NA,3,1,0
Comment,1665,10/07/2013,12/10/2016,0,1,Curitiba,1,19.57142857,0,1,1,7,7,7,9,0,1,1,3.5,1,1,0,NA,1,1,0
Comment,1665,10/07/2013,12/10/2016,0,1,Curitiba,1,19.57142857,0,1,1,7,7,7,9,0,1,1,3.5,1,1,0,NA,1,1,0
Comment,3196,24/10/2013,18/11/2016,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,0
Comment,3196,24/10/2013,18/11/2016,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,0
Comment,3898,23/01/2014,31/12/2014,1,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,0
Comment,378,08/03/2013,12/11/2014,1,1,Dehli,1,NA,NA,NA,NA,4,5,4,4,0,NA,NA,NA,NA,NA,NA,NA,3,1,0
Comment,3898,23/01/2014,31/12/2014,1,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,0
Comment,1337,03/06/2013,04/05/2017,0,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,NA,NA,NA
Comment,4162,14/02/2014,04/06/2014,0,1,Kuala Lumpur,1,26.7,1,1,1,11,7,10,7,0,1,0,7.325,1,1,0,NA,NA,NA,NA
Comment,563,01/04/2013,21/10/2016,1,1,Sao Paulo,1,19.5,1,0,1,7,7,7,9,0,1,1,3.5,1,1,0,NA,2,1,0
Comment,4257,17/02/2014,28/11/2014,0,1,Curitiba,1,19.57142857,0,1,1,7,7,7,9,0,1,1,3.5,1,1,0,NA,NA,NA,NA
Comment,4245,17/02/2014,22/07/2014,0,1,Curitiba,1,19.57142857,0,1,1,7,7,7,9,0,1,1,3.5,1,1,0,NA,NA,NA,NA
Comment,4161,14/02/2014,25/02/2014,0,1,Kuala Lumpur,1,26.7,1,1,1,11,7,10,7,0,1,0,7.325,1,1,0,NA,NA,NA,NA
Comment,1468,25/06/2013,10/06/2016,0,1,Kuala Lumpur,1,26.7,1,1,1,11,7,10,7,0,1,0,7.325,1,1,0,NA,3,1,0
Comment,4128,12/02/2014,18/01/2016,1,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,0
Comment,4127,12/02/2014,30/01/2015,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comment,4107,10/02/2014,29/08/2016,0,1,Sao Paulo,1,19.5,1,0,1,7,7,7,9,0,1,1,3.5,1,1,0,NA,4,1,0
Comment,4155,14/02/2014,30/05/2015,0,1,Kuala Lumpur,1,26.7,1,1,1,11,7,10,7,0,1,0,7.325,1,1,0,NA,4,1,0
Comment,4246,17/02/2014,12/06/2016,0,1,Curitiba,1,19.57142857,0,1,1,7,7,7,9,0,1,1,3.5,1,1,0,NA,3,1,0
Comment,4246,17/02/2014,12/06/2016,0,1,Curitiba,1,19.57142857,0,1,1,7,7,7,9,0,1,1,3.5,1,1,0,NA,3,1,0
Comment,4127,12/02/2014,30/01/2015,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comment,3670,13/12/2013,19/02/2015,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comment,1325,03/06/2013,20/05/2015,0,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,NA,NA,NA
Comment,1233,20/05/2013,13/03/2015,1,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,1,1,0
Comment,1233,20/05/2013,13/03/2015,1,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,1,1,0
Comment,3979,31/01/2014,25/02/2014,0,1,Rio de Janeiro,1,18,0,0,1,7,7,7,9,0,1,1,3.5,1,1,0,NA,4,1,0
Comment,4100,10/02/2014,29/05/2015,0,1,Sao Paulo,1,19.5,1,0,1,7,7,7,9,0,1,1,3.5,1,1,0,NA,4,1,0
Comment,3196,24/10/2013,18/11/2016,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,0
Comment,4246,17/02/2014,12/06/2016,0,1,Curitiba,1,19.57142857,0,1,1,7,7,7,9,0,1,1,3.5,1,1,0,NA,3,1,0
Comment,4254,17/02/2014,10/03/2014,0,1,Curitiba,1,19.57142857,0,1,1,7,7,7,9,0,1,1,3.5,1,1,0,NA,NA,NA,NA
Comment,4257,17/02/2014,28/11/2014,0,1,Curitiba,1,19.57142857,0,1,1,7,7,7,9,0,1,1,3.5,1,1,0,NA,NA,NA,NA
Comment,4257,17/02/2014,28/11/2014,0,1,Curitiba,1,19.57142857,0,1,1,7,7,7,9,0,1,1,3.5,1,1,0,NA,NA,NA,NA
Comment,295,05/03/2013,05/05/2014,0,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,1,1,0
Comment,3298,30/10/2013,07/05/2015,0,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,NA,NA,NA
Comment,1233,20/05/2013,13/03/2015,1,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,1,1,0
Comment,3298,30/10/2013,07/05/2015,0,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,NA,NA,NA
Comment,47,21/02/2013,03/01/2017,0,1,London,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,1,1,0
Comment,1337,03/06/2013,04/05/2017,0,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,NA,NA,NA
Comment,1323,03/06/2013,10/06/2015,0,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,NA,NA,NA
Comment,1337,03/06/2013,04/05/2017,0,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,NA,NA,NA
Comment,1337,03/06/2013,04/05/2017,0,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,NA,NA,NA
Comment,1337,03/06/2013,04/05/2017,0,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,NA,NA,NA
Comment,1337,03/06/2013,04/05/2017,0,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,NA,NA,NA
