Number,uid,name,Staff,HWP,Location,HWP.1,Attendees,Paid,TranTrai,Upload,Time,Bulk,Complex,Task,Online,Team,Self,People,Assign,Coord,TranSamp,TimeSamp,WQO,WQC,WQM,WQS,created,access,login,Latest,ActivePeriod,Years,Blog,Comment,Footprint,Forum,Invite,InviteAccepted,Pres,Quiz,Sample,Share,PCA1_Difficulty,Uploaded,Sample_bi,Super_user
11,1530,gretchen,0,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,02/07/2013,02/07/2013,02/07/2013,02/07/2013,0,0,0,0,0,0,0,0,0,0,0,0,-1.0279,0,0,0
12,1651,alexgray,0,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09/07/2013,31/12/1969,31/12/1969,09/07/2013,0,0,0,0,0,0,0,0,0,0,0,0,-1.0279,0,0,0
13,1673,rebeccamoore,0,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/07/2013,31/12/1969,31/12/1969,11/07/2013,0,0,0,0,0,0,0,0,0,0,0,0,-1.0279,0,0,0
14,1676,ioannaschiza,0,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/07/2013,31/12/1969,31/12/1969,11/07/2013,0,0,0,0,0,0,0,0,0,0,0,0,-1.0279,0,0,0
15,1705,showes,0,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17/07/2013,17/07/2013,17/07/2013,17/07/2013,0,0,0,0,0,0,0,0,0,0,0,0,-1.0279,0,0,0
16,1734,sudhanshu.verma88,0,1,Dehli,1,NA,NA,NA,NA,4,5,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23/07/2013,31/12/1969,31/12/1969,23/07/2013,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0
17,1735,pragyaghai90,0,1,Dehli,1,NA,NA,NA,NA,4,5,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23/07/2013,31/12/1969,31/12/1969,23/07/2013,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0
18,1743,arunabh.83,0,1,Dehli,1,NA,NA,NA,NA,4,5,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23/07/2013,31/12/1969,31/12/1969,23/07/2013,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0
19,1775,naveenkumar,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/07/2013,31/12/1969,31/12/1969,25/07/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
20,1779,shayestest,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26/07/2013,26/07/2013,26/07/2013,26/07/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
21,1814,watersteve,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29/07/2013,31/12/1969,31/12/1969,29/07/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
22,1828,mariaa1028,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30/07/2013,31/12/1969,31/12/1969,30/07/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
23,1831,Valeria Vivani,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/08/2013,31/12/1969,31/12/1969,01/08/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
24,1969,Ahmed.mostafa.kamel,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20/08/2013,31/12/1969,31/12/1969,20/08/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
25,1976,cherifabdelghaffar,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20/08/2013,31/12/1969,31/12/1969,20/08/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
26,1977,san_libran84,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20/08/2013,31/12/1969,31/12/1969,20/08/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
27,2009,L.Hofmann,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22/08/2013,22/08/2013,22/08/2013,22/08/2013,0,0,0,0,0,0,0,0,0,2,0,0,-0.7625,0,0,0
28,2011,J.Wegenaer,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22/08/2013,22/08/2013,22/08/2013,22/08/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
29,2026,maysallam,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23/08/2013,31/12/1969,31/12/1969,23/08/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
30,2028,aliakorayem,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23/08/2013,31/12/1969,31/12/1969,23/08/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
31,2073,mshenouda1,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27/08/2013,31/12/1969,31/12/1969,27/08/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
32,2077,dr.mina_a_gerges,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29/08/2013,31/12/1969,31/12/1969,29/08/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
33,2080,Zeinab.gaafer,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29/08/2013,31/12/1969,31/12/1969,29/08/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
34,2082,amiraelmadany,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29/08/2013,31/12/1969,31/12/1969,29/08/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
35,2118,chadeich,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/09/2013,31/12/1969,31/12/1969,01/09/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
36,2205,Nabil.sameh,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/09/2013,31/12/1969,31/12/1969,05/09/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
37,2210,Maria.daccache,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/09/2013,31/12/1969,31/12/1969,05/09/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
38,2280,seemamoghe,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/09/2013,31/12/1969,31/12/1969,06/09/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
39,2286,Ghina.zahran,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/09/2013,31/12/1969,31/12/1969,06/09/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
40,2287,Yousra.moussalli,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/09/2013,31/12/1969,31/12/1969,06/09/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
41,2288,amneh.moaddi,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/09/2013,31/12/1969,31/12/1969,06/09/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
42,2294,jorge arias,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/09/2013,31/12/1969,31/12/1969,07/09/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
43,2351,azmymostafa,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/09/2013,31/12/1969,31/12/1969,11/09/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
44,2363,Veena7,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/09/2013,11/09/2013,11/09/2013,11/09/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
45,2448,sirosmi,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/09/2013,31/12/1969,31/12/1969,12/09/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
46,2472,Yolandliang,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17/09/2013,31/12/1969,31/12/1969,17/09/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
47,2473,Georgina Mason,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17/09/2013,31/12/1969,31/12/1969,17/09/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
48,2475,Lisley,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17/09/2013,31/12/1969,31/12/1969,17/09/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
49,2478,Mohamed.Helmy,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17/09/2013,31/12/1969,31/12/1969,17/09/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
50,2482,rehabelfeky,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17/09/2013,31/12/1969,31/12/1969,17/09/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
51,2485,ajaykeerthy,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17/09/2013,31/12/1969,31/12/1969,17/09/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
52,2486,laurabentley,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17/09/2013,31/12/1969,31/12/1969,17/09/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
53,2557,Daniel.J.McMullen,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19/09/2013,31/12/1969,31/12/1969,19/09/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
54,2564,John.v.quinn,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19/09/2013,31/12/1969,31/12/1969,19/09/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
55,2565,Karla Arce,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19/09/2013,31/12/1969,31/12/1969,19/09/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
56,2566,Stacy,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19/09/2013,31/12/1969,31/12/1969,19/09/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
57,2574,hasan.a.barni,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20/09/2013,31/12/1969,31/12/1969,20/09/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
58,2576,RS,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20/09/2013,31/12/1969,31/12/1969,20/09/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
59,2583,kkkrzychu,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20/09/2013,20/09/2013,20/09/2013,20/09/2013,0,0,0,0,0,0,0,0,0,1,0,0,-0.7625,0,0,0
60,2585,LuizPinheiro,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20/09/2013,20/09/2013,20/09/2013,20/09/2013,0,0,0,0,0,0,0,0,0,1,0,0,-0.7625,0,0,0
61,2587,vivianzhou,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22/09/2013,22/09/2013,22/09/2013,22/09/2013,0,0,0,0,0,0,0,0,0,1,0,0,-0.7625,0,0,0
62,2589,keikeikei,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23/09/2013,23/09/2013,23/09/2013,23/09/2013,0,0,0,0,0,0,0,0,0,1,0,0,-0.7625,0,0,0
63,2590,Alec Ng,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23/09/2013,23/09/2013,23/09/2013,23/09/2013,0,0,0,0,0,0,0,0,0,1,0,0,-0.7625,0,0,0
64,2592,octavial,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23/09/2013,31/12/1969,31/12/1969,23/09/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
65,2593,cristina.lau,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23/09/2013,31/12/1969,31/12/1969,23/09/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
66,2714,catherine.renaud,0,1,Paris,1,19.07142857,1,0,0,2,2,2,2,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,07/10/2013,31/12/1969,31/12/1969,07/10/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.4971,0,0,0
67,2718,jose.de.oliveira,0,1,Paris,1,19.07142857,1,0,0,2,2,2,2,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,07/10/2013,31/12/1969,31/12/1969,07/10/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.4971,0,0,0
68,2908,Danny Ho,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/10/2013,31/12/1969,31/12/1969,12/10/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
69,2909,charlieykcao,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/10/2013,31/12/1969,31/12/1969,14/10/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
70,2957,alberto.franco,0,1,Mexico City,1,19.5,0,1,0,4,3,4,5,0,1,0,4,1,1,1,NA,NA,NA,NA,NA,15/10/2013,31/12/1969,31/12/1969,15/10/2013,0,0,0,0,0,0,0,0,0,0,0,0,0.0279,0,0,0
71,2959,wendolyn.aguila,0,1,Mexico City,1,19.5,0,1,0,4,3,4,5,0,1,0,4,1,1,1,NA,NA,NA,NA,NA,15/10/2013,31/12/1969,31/12/1969,15/10/2013,0,0,0,0,0,0,0,0,0,0,0,0,0.0279,0,0,0
72,2964,elizabeth.marichi,0,1,Mexico City,1,19.5,0,1,0,4,3,4,5,0,1,0,4,1,1,1,NA,NA,NA,NA,NA,15/10/2013,31/12/1969,31/12/1969,15/10/2013,0,0,0,0,0,0,0,0,0,0,0,0,0.0279,0,0,0
73,2966,juan.p.lara,0,1,Mexico City,1,19.5,0,1,0,4,3,4,5,0,1,0,4,1,1,1,NA,NA,NA,NA,NA,15/10/2013,31/12/1969,31/12/1969,15/10/2013,0,0,0,0,0,0,0,0,0,0,0,0,0.0279,0,0,0
74,2967,daniel.cano,0,1,Mexico City,1,19.5,0,1,0,4,3,4,5,0,1,0,4,1,1,1,NA,NA,NA,NA,NA,15/10/2013,31/12/1969,31/12/1969,15/10/2013,0,0,0,0,0,0,0,0,0,0,0,0,0.0279,0,0,0
75,2991,sandeep.selvaranjan,0,1,London,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16/10/2013,16/10/2013,16/10/2013,16/10/2013,0,0,0,0,0,0,0,0,0,3,0,0,-0.4971,0,0,0
76,3088,sarahnabila.aulia,0,1,Jakarta,1,19.16666667,0,1,0,6,5,5,6,0,1,1,6.916666667,1,0,0,NA,NA,NA,NA,NA,17/10/2013,31/12/1969,31/12/1969,17/10/2013,0,0,0,0,0,0,0,0,0,0,0,0,0.4334,0,0,0
77,3115,Kamel BENZAGHOU,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18/10/2013,31/12/1969,31/12/1969,18/10/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
78,3117,leticia.guzmang,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18/10/2013,31/12/1969,31/12/1969,18/10/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
79,3118,guillermo.villalobos,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18/10/2013,31/12/1969,31/12/1969,18/10/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
80,3119,jorge.avilad,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18/10/2013,31/12/1969,31/12/1969,18/10/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
81,3120,armin.estrada,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18/10/2013,31/12/1969,31/12/1969,18/10/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
82,3127,america adad,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19/10/2013,31/12/1969,31/12/1969,19/10/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
83,3133,preetinderbajwa,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21/10/2013,31/12/1969,31/12/1969,21/10/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
84,3136,fercus06,0,1,Mexico City,1,19.5,0,1,0,4,3,4,5,0,1,0,4,1,1,1,NA,NA,NA,NA,NA,22/10/2013,31/12/1969,31/12/1969,22/10/2013,0,0,0,0,0,0,0,0,0,0,0,0,0.0279,0,0,0
85,3137,viridiana.esteva,0,1,Mexico City,1,19.5,0,1,0,4,3,4,5,0,1,0,4,1,1,1,NA,NA,NA,NA,NA,22/10/2013,31/12/1969,31/12/1969,22/10/2013,0,0,0,0,0,0,0,0,0,0,0,0,0.0279,0,0,0
86,3161,sandhyagopakumaran,0,1,Hyderabad,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23/10/2013,31/12/1969,31/12/1969,23/10/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.4971,0,0,0
87,3162,vishnu.h.daga,0,1,Hyderabad,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23/10/2013,23/10/2013,23/10/2013,23/10/2013,0,0,0,0,0,0,0,0,0,1,0,0,-0.4971,0,0,0
88,3164,venkatphanikishoredanturti,0,1,Hyderabad,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23/10/2013,23/10/2013,23/10/2013,23/10/2013,0,0,0,0,0,0,0,0,0,2,0,0,-0.4971,0,0,0
89,3166,khanalamdarhussain,0,1,Hyderabad,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23/10/2013,23/10/2013,23/10/2013,23/10/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.4971,0,0,0
90,3169,shireeshaps,0,1,Hyderabad,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23/10/2013,31/12/1969,31/12/1969,23/10/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.4971,0,0,0
91,3170,sourav1bhattacharya,0,1,Hyderabad,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23/10/2013,31/12/1969,31/12/1969,23/10/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.4971,0,0,0
92,3173,venkateshvajjhala,0,1,Hyderabad,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23/10/2013,31/12/1969,31/12/1969,23/10/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.4971,0,0,0
93,3174,santoshbharatyellapantula,0,1,Hyderabad,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23/10/2013,31/12/1969,31/12/1969,23/10/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.4971,0,0,0
94,3176,aswini.mohapatra,0,1,Hyderabad,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23/10/2013,31/12/1969,31/12/1969,23/10/2013,0,0,0,0,0,0,0,0,0,0,0,0,-0.4971,0,0,0
95,3177,sanjeevkhatri,0,1,Hyderabad,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23/10/2013,23/10/2013,23/10/2013,23/10/2013,0,0,0,0,0,0,0,0,0,1,0,0,-0.4971,0,0,0
96,3179,mareshporandla,0,1,Hyderabad,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23/10/2013,23/10/2013,23/10/2013,23/10/2013,0,0,0,0,0,0,0,0,0,1,0,0,-0.4971,0,0,0
